Zarautz;23301
Zeanuri;1258
Zeberio;1065
Zegama;1532
Zerain;266
Zestoa;3833
Zierbena;1493
Zigoitia;1712
Ziortza-Bolibar;451
Zizurkil;3029
Zuia;2365
Zumaia;9825
Zumarraga;9767
